Job Family,Total Benefits,Total Compensation
Recreation,4943.395373134328,16110.624029850747
Library,7992.0,21718.381999999998
Appraisal & Taxation,10583.05,39426.81
Public Service Aide,10643.402637795272,29573.241102362215
"Clerical, Secretarial & Steno",11184.778492286108,37194.628618513336
SF Superior Court,13636.096666666666,48377.159999999996
Personnel,14733.33338129496,50126.14726618702
Community Development,15198.574999999999,48884.0
Revenue,15971.702058823532,49657.09911764708
Dietary & Food,18316.924395833325,59915.44287499996
Computer Operatns & Repro Svcs,19772.975612903218,65418.73922580639
Park & Zoo,21177.600625,61849.955000000016
Pub Relations & Spec Assts,22623.198571428573,77570.48142857142
Administrative-DPW/PUC,22702.66,98251.1
Energy & Environment,22773.096666666668,83055.26666666666
Port Operation,23688.18,88484.42
Semi-Skilled & General Labor,24864.369763374467,83116.78903292176
Information Systems,25063.003333333338,85992.61538461539
Housekeeping & Laundry,25455.3337107776,82080.50506139154
Nursing,25785.75530643325,99709.5616634946
Sub-Professional Engineering,25831.715319148934,91396.19563829785
Med Therapy & Auxiliary,25972.756420765043,88077.80972677593
"Budget, Admn & Stats Analysis",26491.149512195127,92206.57731707318
Property Administration,26791.14333333333,93551.40999999999
Museum & Cultural Affairs,27037.39,83926.07
Purchasing & Storekeeping,28520.068046875007,98078.36773437503
Agriculture & Horticulture,28653.835032967036,96610.10094505499
Human Services,29162.032998511924,102420.30319196435
Protection & Apprehension,29262.251630841096,106554.18882710286
"Payroll, Billing & Accounting",30059.396292134847,101750.42382022472
Skilled Labor,30380.183624557238,112757.53273907909
Professional Engineering,30511.198666666674,112286.4266666667
Street Transit,30794.80356119593,101598.58983197757
Hospital Administration,31054.737317073166,104709.91865853654
Legal & Court,31191.483431372548,117844.86176470586
Probation & Parole,31842.587096774187,126130.01
Construction Inspection,32335.709172413786,121403.22968965517
Police Services,32552.014867364906,161969.00323085333
Medical & Dental,33222.22761904761,154797.95142857142
"Lab, Pharmacy & Med Techs",33432.82802173915,130938.14873913051
Airport Operation,33539.641335740074,120980.47281588445
Correction & Detention,34027.554098208835,146978.07246139605
Journeyman Trade,35240.49936487486,135810.67638438893
Health & Sanitation Inspection,36832.493333333325,132239.07111111112
Supervisory-Labor & Trade,37940.95593181822,154489.95631818165
Public Safety Inspection,38110.50287356323,152279.56534482763
Administrative-Labor & Trades,39960.12219512195,179801.15390243902
Fire Services,40051.07656743185,195133.07248923992
Management,43603.17130434783,156159.83521739132
