,Title,Awards,Awards_won,Awards_nominated,Primetime_Awards_nominated,BAFTA_Awards_nominated,Oscar_nominated,Golden_Awards_nominated,Primetime_Awards_won,Oscar_Awards_won,Golden_Awards_won
3,Who Are You?,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
4,Skeletons in the Closet,1 win.,1,0,0,0,0,0,0,0,0
5,Cheerleader Ninjas,1 nomination.,0,1,0,0,0,0,0,0,0
6,The Girl from Paris,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0
7,The Final Curtain,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
11,Crazy/Beautiful,5 nominations.,0,5,0,0,0,0,0,0,0
13,The Anniversary Party,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
15,The Quiet American,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13,14,0,0,1,0,0,0,0
18,Like Cat and Mouse,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0
24,Punch-Drunk Love,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,14,35,0,0,0,1,0,0,0
25,Romeo,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0
28,Academia de baile Gloria,1 nomination.,0,1,0,0,0,0,0,0,0
31,Return to Never Land,5 nominations.,0,5,0,0,0,0,0,0,0
34,Better Luck Tomorrow,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
37,A Grande Família,22 wins & 44 nominations.,22,44,0,0,0,0,0,0,0
38,El lado oscuro del corazón 2,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
39,Slap Shot 2: Breaking the Ice,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0
43,Van Wilder: Party Liaison,2 nominations.,0,2,0,0,0,0,0,0,0
47,Black Box BRD,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0
50,24,Won 2 Golden Globes. Another 68 wins & 201 nominations.,70,201,0,0,0,0,0,0,2
51,Alias,Won 1 Golden Globe. Another 31 wins & 143 nominations.,32,143,0,0,0,0,0,0,1
53,According to Jim,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,20,4,0,0,0,0,0,0
54,The Education of Max Bickford,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0
56,A Padroeira,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0
62,Poker,2 wins.,2,0,0,0,0,0,0,0,0
69,No Regrets,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0
72,Swept Away,7 wins & 6 nominations.,7,6,0,0,0,0,0,0,0
76,McLeod's Daughters,9 wins & 30 nominations.,9,30,0,0,0,0,0,0,0
79,The Grim Adventures of Billy & Mandy,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,2,6,0,0,0,0,1,0,0
84,The Big Time,1 nomination.,0,1,0,0,0,0,0,0,0
87,Harry Potter and the Chamber of Secrets,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,11,42,0,3,0,0,0,0,0
88,Sins of the Father,6 nominations.,0,6,0,0,0,0,0,0,0
90,Bachelors Walk,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
91,I Spy,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
94,The Ring,14 wins & 11 nominations.,14,11,0,0,0,0,0,0,0
97,2DTV,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
102,Black and White,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
116,Ana y los 7,2 nominations.,0,2,0,0,0,0,0,0,0
117,Australians at War,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0
118,American Family,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,2,15,0,0,0,1,0,0,0
121,The Ruby Princess Runs Away,2 wins.,2,0,0,0,0,0,0,0,0
134,Andy Richter Controls the Universe,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,2,1,0,0,0,0,0,0
135,Crime and Punishment,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0
138,2030 CE,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
139,Ace Lightning,1 nomination.,0,1,0,0,0,0,0,0,0
146,Chechen Lullaby,2 wins.,2,0,0,0,0,0,0,0,0
150,30 by 30: Kid Flicks,1 nomination.,0,1,0,0,0,0,0,0,0
152,The Bachelor,9 wins & 8 nominations.,9,8,0,0,0,0,0,0,0
162,A Very British Murder,1 win.,1,0,0,0,0,0,0,0,0
164,The Show Must Go On,1 win.,1,0,0,0,0,0,0,0,0
166,Broken Wings,15 wins & 4 nominations.,15,4,0,0,0,0,0,0,0
167,Salvation,1 win.,1,0,0,0,0,0,0,0,0
180,Angelina Ballerina,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
181,Any Time Now,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0
184,The Adventures of Jimmy Neutron: Boy Genius,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0
185,After Hours,2 nominations.,0,2,0,0,0,0,0,0,0
190,Adventure Inc.,1 nomination.,0,1,0,0,0,0,0,0,0
191,Anja,1 win.,1,0,0,0,0,0,0,0,0
211,The Birthday,1 nomination.,0,1,0,0,0,0,0,0,0
212,9 Dead Gay Guys,2 wins.,2,0,0,0,0,0,0,0,0
213,30 Minute Meals,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
215,Santa vs. the Snowman 3D,1 win.,1,0,0,0,0,0,0,0,0
217,Silent Night,4 nominations.,0,4,0,0,0,0,0,0,0
221,Memento Mori,4 wins.,4,0,0,0,0,0,0,0,0
222,The Wedding,1 win.,1,0,0,0,0,0,0,0,0
226,A Pequena Travessa,15 nominations.,0,15,0,0,0,0,0,0,0
230,Unprecedented: The 2000 Presidential Election,2 wins.,2,0,0,0,0,0,0,0,0
240,Happy Birthday,2 wins.,2,0,0,0,0,0,0,0,0
244,15 Storeys High,1 nomination.,0,1,0,0,0,0,0,0,0
256,Annemie Hülchrath - Der Talk,1 nomination.,0,1,0,0,0,0,0,0,0
