Word,Rank,Frequency,Pr(%),r*Pr
the,1,41634,6.2%,0.062146
of,2,19307,2.9%,0.057638
to,3,18671,2.8%,0.083609
and,4,14895,2.2%,0.088934
a,5,14605,2.2%,0.109003
in,6,13356,2.0%,0.119617
is,7,8045,1.2%,0.084060
that,8,7634,1.1%,0.091161
says,9,7482,1.1%,0.100514
for,10,6047,0.9%,0.090262
s,11,5935,0.9%,0.097450
it,12,5685,0.8%,0.101831
are,13,4796,0.7%,0.093066
be,14,4292,0.6%,0.089692
have,15,4288,0.6%,0.096009
on,16,4258,0.6%,0.101693
from,17,4101,0.6%,0.104065
he,18,3999,0.6%,0.107446
with,19,3676,0.5%,0.104255
has,20,3492,0.5%,0.104249
at,21,3490,0.5%,0.109399
they,22,3426,0.5%,0.112506
as,23,3264,0.5%,0.112058
we,24,3107,0.5%,0.111306
but,25,2978,0.4%,0.111130
by,26,2843,0.4%,0.110336
will,27,2822,0.4%,0.113733
this,28,2764,0.4%,0.115521
not,29,2311,0.3%,0.100038
an,30,2289,0.3%,0.102502
said,31,2196,0.3%,0.101616
more,32,2191,0.3%,0.104655
new,33,2182,0.3%,0.107482
been,34,2163,0.3%,0.109775
their,35,2084,0.3%,0.108876
there,36,2049,0.3%,0.110106
australia,37,2027,0.3%,0.111949
was,38,2018,0.3%,0.114465
or,39,1973,0.3%,0.114857
which,40,1895,0.3%,0.113145
can,41,1749,0.3%,0.107039
about,42,1623,0.2%,0.101750
up,43,1591,0.2%,0.102119
one,44,1498,0.2%,0.098386
than,45,1481,0.2%,0.099480
could,46,1475,0.2%,0.101278
australian,47,1384,0.2%,0.097096
also,48,1331,0.2%,0.095364
were,49,1326,0.2%,0.096985
people,50,1281,0.2%,0.095606
t,51,1272,0.2%,0.096833
water,52,1263,0.2%,0.098033
some,53,1251,0.2%,0.098969
its,54,1243,0.2%,0.100192
out,55,1241,0.2%,0.101883
years,56,1230,0.2%,0.102816
i,57,1226,0.2%,0.104311
say,58,1222,0.2%,0.105795
year,59,1222,0.2%,0.107619
you,60,1193,0.2%,0.106846
would,61,1166,0.2%,0.106168
into,62,1154,0.2%,0.106798
farmers,63,1153,0.2%,0.108427
research,64,1145,0.2%,0.109384
so,65,1138,0.2%,0.110414
other,66,1134,0.2%,0.111718
if,67,1111,0.2%,0.111111
south,68,1103,0.2%,0.111957
us,69,1096,0.2%,0.112882
had,70,1085,0.2%,0.113369
who,71,1061,0.2%,0.112445
researchers,72,1046,0.2%,0.112417
what,73,1045,0.2%,0.113869
when,74,1030,0.2%,0.113772
like,75,997,0.1%,0.111615
found,76,977,0.1%,0.110834
may,77,974,0.1%,0.111948
over,78,973,0.1%,0.113285
university,79,966,0.1%,0.113912
government,80,945,0.1%,0.112847
industry,81,943,0.1%,0.114015
all,82,926,0.1%,0.113342
because,83,916,0.1%,0.113485
two,84,888,0.1%,0.111342
time,85,878,0.1%,0.111399
million,86,868,0.1%,0.111426
them,87,867,0.1%,0.112591
now,88,861,0.1%,0.113097
study,89,841,0.1%,0.111726
growers,90,830,0.1%,0.111503
first,91,812,0.1%,0.110297
very,92,812,0.1%,0.111509
after,93,810,0.1%,0.112444
being,94,806,0.1%,0.113091
scientists,95,798,0.1%,0.113160
dr,96,764,0.1%,0.109479
how,97,755,0.1%,0.109316
she,98,754,0.1%,0.110297
just,99,748,0.1%,0.110536
our,100,732,0.1%,0.109264
re,101,729,0.1%,0.109905
per,102,722,0.1%,0.109927
these,103,717,0.1%,0.110236
most,104,714,0.1%,0.110840
his,105,712,0.1%,0.111593
used,106,698,0.1%,0.110440
only,107,692,0.1%,0.110524
wheat,108,676,0.1%,0.108978
no,109,666,0.1%,0.108360
around,110,665,0.1%,0.109190
do,111,664,0.1%,0.110016
national,112,660,0.1%,0.110339
last,113,656,0.1%,0.110649
get,114,649,0.1%,0.110437
system,115,634,0.1%,0.108831
make,116,628,0.1%,0.108739
professor,117,619,0.1%,0.108104
world,118,613,0.1%,0.107972
think,119,606,0.1%,0.107643
prices,120,605,0.1%,0.108369
federal,121,599,0.1%,0.108188
such,122,588,0.1%,0.107079
between,123,579,0.1%,0.106304
way,124,578,0.1%,0.106983
cent,125,577,0.1%,0.107660
while,126,569,0.1%,0.107016
many,127,557,0.1%,0.105591
any,128,552,0.1%,0.105467
work,129,549,0.1%,0.105713
awb,130,546,0.1%,0.105950
market,131,544,0.1%,0.106374
team,132,543,0.1%,0.106989
queensland,133,542,0.1%,0.107601
help,134,541,0.1%,0.108210
ve,135,539,0.1%,0.108615
those,136,538,0.1%,0.109216
today,137,535,0.1%,0.109406
long,138,534,0.1%,0.109999
report,139,530,0.1%,0.109966
going,140,527,0.1%,0.110130
company,141,515,0.1%,0.108391
state,142,515,0.1%,0.109160
where,143,510,0.1%,0.108861
use,144,510,0.1%,0.109622
much,145,504,0.1%,0.109085
drought,146,503,0.1%,0.109619
then,147,497,0.1%,0.109054
down,148,490,0.1%,0.108249
through,149,489,0.1%,0.108758
