Word,Rank,Frequency,Pr(%),r*Pr
the,1,133583,6.3%,0.062556
and,2,95442,4.5%,0.089390
of,3,71267,3.3%,0.100122
to,4,48057,2.3%,0.090020
a,5,33960,1.6%,0.079517
in,6,33580,1.6%,0.094352
i,7,30265,1.4%,0.099211
that,8,28798,1.3%,0.107888
he,9,25857,1.2%,0.108979
it,10,22303,1.0%,0.104444
his,11,21402,1.0%,0.110247
for,12,19527,0.9%,0.109733
was,13,18715,0.9%,0.113934
with,14,17599,0.8%,0.115382
not,15,17373,0.8%,0.122036
is,16,16435,0.8%,0.123143
you,17,16398,0.8%,0.130545
be,18,16115,0.8%,0.135839
as,19,14528,0.7%,0.129265
but,20,13944,0.7%,0.130598
all,21,13725,0.6%,0.134975
they,22,13104,0.6%,0.135004
him,23,13012,0.6%,0.140150
shall,24,11682,0.5%,0.131295
her,25,11552,0.5%,0.135244
my,26,10511,0.5%,0.127979
had,27,10317,0.5%,0.130448
them,28,10245,0.5%,0.134335
have,29,10116,0.5%,0.137381
s,30,9896,0.5%,0.139028
me,31,9469,0.4%,0.137463
said,32,9429,0.4%,0.141298
at,33,9174,0.4%,0.141773
she,34,9078,0.4%,0.144541
from,35,9076,0.4%,0.148759
unto,36,9010,0.4%,0.151897
this,37,8915,0.4%,0.154470
which,38,8775,0.4%,0.156153
on,39,8596,0.4%,0.156994
lord,40,8590,0.4%,0.160907
by,41,8512,0.4%,0.163432
their,42,7806,0.4%,0.153532
so,43,7791,0.4%,0.156885
will,44,7368,0.3%,0.151818
were,45,6871,0.3%,0.144795
are,46,6854,0.3%,0.147646
thou,47,6759,0.3%,0.148765
there,48,6380,0.3%,0.143411
when,49,6330,0.3%,0.145251
or,50,6325,0.3%,0.148099
one,51,6218,0.3%,0.148505
no,52,5846,0.3%,0.142358
what,53,5792,0.3%,0.143756
out,54,5771,0.3%,0.145937
man,55,5615,0.3%,0.144622
thy,56,5609,0.3%,0.147094
god,57,5287,0.2%,0.141125
if,58,5245,0.2%,0.142460
we,59,5134,0.2%,0.141850
your,60,5121,0.2%,0.143889
then,61,5091,0.2%,0.145430
up,62,5023,0.2%,0.145840
an,63,4897,0.2%,0.144475
thee,64,4807,0.2%,0.144070
do,65,4707,0.2%,0.143278
now,66,4677,0.2%,0.144555
ye,67,4674,0.2%,0.146651
upon,68,4587,0.2%,0.146069
who,69,4262,0.2%,0.137716
into,70,4098,0.2%,0.134335
more,71,4062,0.2%,0.135058
would,72,4046,0.2%,0.136420
very,73,4009,0.2%,0.137050
come,74,3642,0.2%,0.126210
could,75,3594,0.2%,0.126229
like,76,3468,0.2%,0.123428
before,77,3449,0.2%,0.124367
been,78,3410,0.2%,0.124557
any,79,3357,0.2%,0.124194
came,80,3337,0.2%,0.125016
day,81,3326,0.2%,0.126162
king,82,3149,0.1%,0.120923
did,83,3121,0.1%,0.121309
little,84,3065,0.1%,0.120568
know,85,3057,0.1%,0.121684
am,86,2987,0.1%,0.120297
than,87,2908,0.1%,0.118477
house,88,2900,0.1%,0.119509
good,89,2899,0.1%,0.120826
every,90,2892,0.1%,0.121888
see,91,2885,0.1%,0.122944
great,92,2859,0.1%,0.123175
these,93,2850,0.1%,0.124122
go,94,2841,0.1%,0.125060
down,95,2819,0.1%,0.125412
us,96,2804,0.1%,0.126058
people,97,2802,0.1%,0.127280
some,98,2756,0.1%,0.126481
son,99,2754,0.1%,0.127679
made,100,2744,0.1%,0.128501
say,101,2737,0.1%,0.129454
men,102,2726,0.1%,0.130211
after,103,2723,0.1%,0.131343
how,104,2716,0.1%,0.132277
our,105,2714,0.1%,0.133450
time,106,2707,0.1%,0.134374
let,107,2676,0.1%,0.134088
d,108,2596,0.1%,0.131295
about,109,2595,0.1%,0.132460
israel,110,2592,0.1%,0.133521
such,111,2560,0.1%,0.133071
over,112,2559,0.1%,0.134217
should,113,2550,0.1%,0.134940
may,114,2549,0.1%,0.136080
hath,115,2535,0.1%,0.136520
well,116,2509,0.1%,0.136295
only,117,2506,0.1%,0.137305
even,118,2480,0.1%,0.137042
other,119,2451,0.1%,0.136588
hand,120,2446,0.1%,0.137454
two,121,2374,0.1%,0.134520
mr,122,2356,0.1%,0.134603
must,123,2333,0.1%,0.134382
can,124,2327,0.1%,0.135126
father,125,2319,0.1%,0.135747
against,126,2317,0.1%,0.136715
much,127,2308,0.1%,0.137265
went,128,2307,0.1%,0.138286
t,129,2256,0.1%,0.136285
make,130,2255,0.1%,0.137281
children,131,2253,0.1%,0.138214
yet,132,2234,0.1%,0.138095
own,133,2221,0.1%,0.138331
o,134,2220,0.1%,0.139309
also,135,2186,0.1%,0.138199
again,136,2122,0.1%,0.135147
land,137,2081,0.1%,0.133510
old,138,2081,0.1%,0.134484
away,139,2027,0.1%,0.131944
things,140,1977,0.1%,0.129615
thing,141,1974,0.1%,0.130343
might,142,1963,0.1%,0.130536
first,143,1937,0.1%,0.129714
way,144,1917,0.1%,0.129272
because,145,1896,0.1%,0.128744
mrs,146,1857,0.1%,0.126965
where,147,1853,0.1%,0.127560
never,148,1838,0.1%,0.127388
give,149,1830,0.1%,0.127690
take,150,1803,0.1%,0.126651
nor,151,1801,0.1%,0.127354
here,152,1782,0.1%,0.126845
long,153,1765,0.1%,0.126461
saying,154,1746,0.1%,0.125917
though,155,1738,0.1%,0.126154
himself,156,1702,0.1%,0.124338
think,157,1693,0.1%,0.124474
earth,158,1682,0.1%,0.124453
shalt,159,1673,0.1%,0.124570
those,160,1668,0.1%,0.124979
ever,161,1656,0.1%,0.124855
has,162,1653,0.1%,0.125403
being,163,1652,0.1%,0.126101
saw,164,1636,0.1%,0.125646
therefore,165,1628,0.1%,0.125794
heard,166,1599,0.1%,0.124302
put,167,1592,0.1%,0.124503
many,168,1591,0.1%,0.125170
through,169,1589,0.1%,0.125757
place,170,1588,0.1%,0.126421
without,171,1581,0.1%,0.126604
off,172,1576,0.1%,0.126942
most,173,1523,0.1%,0.123386
heart,174,1500,0.1%,0.122225
head,175,1495,0.1%,0.122518
name,176,1493,0.1%,0.123053
too,177,1485,0.1%,0.123089
nothing,178,1469,0.1%,0.122451
behold,179,1468,0.1%,0.123055
life,180,1447,0.1%,0.121972
eyes,181,1428,0.1%,0.121040
whom,182,1424,0.1%,0.121367
among,183,1405,0.1%,0.120406
thus,184,1366,0.1%,0.117703
still,185,1355,0.1%,0.117390
thought,186,1353,0.1%,0.117851
sea,187,1351,0.1%,0.118309
last,188,1333,0.1%,0.117357
just,189,1332,0.1%,0.117893
done,190,1322,0.1%,0.117627
word,191,1303,0.1%,0.116546
its,192,1291,0.1%,0.116078
world,193,1285,0.1%,0.116140
face,194,1275,0.1%,0.115833
why,195,1272,0.1%,0.116156
days,196,1270,0.1%,0.116568
night,197,1270,0.1%,0.117163
same,198,1268,0.1%,0.117572
saith,199,1267,0.1%,0.118073
found,200,1263,0.1%,0.118292
voice,201,1258,0.1%,0.118412
another,202,1256,0.1%,0.118812
whale,203,1254,0.1%,0.119210
took,204,1242,0.1%,0.118651
hear,205,1235,0.1%,0.118561
brought,206,1231,0.1%,0.118753
hast,207,1230,0.1%,0.119233
three,208,1228,0.1%,0.119614
while,209,1222,0.1%,0.119602
mother,210,1213,0.1%,0.119289
forth,211,1195,0.1%,0.118079
sons,212,1191,0.1%,0.118241
miss,213,1190,0.1%,0.118699
look,214,1187,0.1%,0.118956
heaven,215,1185,0.1%,0.119310
set,216,1181,0.1%,0.119461
side,217,1166,0.1%,0.118489
round,218,1162,0.1%,0.118627
young,219,1158,0.1%,0.118761
tell,220,1153,0.1%,0.118788
right,221,1148,0.1%,0.118811
called,222,1138,0.1%,0.118309
under,223,1126,0.1%,0.117588
back,224,1123,0.1%,0.117801
love,225,1121,0.1%,0.118116
david,226,1110,0.1%,0.117477
neither,227,1109,0.1%,0.117890
cried,228,1107,0.1%,0.118196
pass,229,1090,0.1%,0.116891
seemed,230,1086,0.1%,0.116971
soon,231,1081,0.1%,0.116939
quite,232,1079,0.1%,0.117228
oh,233,1075,0.1%,0.117297
both,234,1072,0.1%,0.117471
words,235,1057,0.0%,0.116322
city,236,1052,0.0%,0.116265
sir,237,1050,0.0%,0.116536
thine,238,1047,0.0%,0.116693
left,239,1023,0.0%,0.114497
years,240,1023,0.0%,0.114976
mine,241,1020,0.0%,0.115117
till,242,1018,0.0%,0.115368
always,243,1013,0.0%,0.115275
hands,244,1006,0.0%,0.114950
speak,245,1003,0.0%,0.115077
bring,246,996,0.0%,0.114740
jesus,247,988,0.0%,0.114281
looked,248,984,0.0%,0.114279
high,249,982,0.0%,0.114507
death,250,981,0.0%,0.114850
herself,251,971,0.0%,0.114134
woman,252,966,0.0%,0.113998
together,253,964,0.0%,0.114214
far,254,946,0.0%,0.112524
sent,255,944,0.0%,0.112728
something,256,942,0.0%,0.112931
whole,257,938,0.0%,0.112890
seen,258,935,0.0%,0.112967
once,259,931,0.0%,0.112920
stood,260,930,0.0%,0.113234
sure,261,921,0.0%,0.112570
thereof,262,920,0.0%,0.112878
half,263,916,0.0%,0.112816
gave,264,914,0.0%,0.112998
soul,265,910,0.0%,0.112930
poor,266,907,0.0%,0.112982
end,267,896,0.0%,0.112031
fire,268,890,0.0%,0.111698
work,269,887,0.0%,0.111737
morning,270,877,0.0%,0.110888
better,271,874,0.0%,0.110918
indeed,272,873,0.0%,0.111200
according,273,867,0.0%,0.110842
emma,274,866,0.0%,0.111119
moses,275,864,0.0%,0.111267
captain,276,859,0.0%,0.111026
don,277,855,0.0%,0.110909
part,278,854,0.0%,0.111179
eat,279,849,0.0%,0.110926
given,280,848,0.0%,0.111192
jerusalem,281,821,0.0%,0.108036
full,282,819,0.0%,0.108157
whose,283,819,0.0%,0.108540
judah,284,817,0.0%,0.108658
cannot,285,816,0.0%,0.108907
water,286,816,0.0%,0.109289
evil,287,811,0.0%,0.108999
each,288,810,0.0%,0.109244
rather,289,809,0.0%,0.109488
enough,290,808,0.0%,0.109731
brother,291,807,0.0%,0.109973
answered,292,806,0.0%,0.110214
myself,293,795,0.0%,0.109083
going,294,794,0.0%,0.109317
light,295,793,0.0%,0.109551
new,296,791,0.0%,0.109645
white,297,788,0.0%,0.109598
told,298,782,0.0%,0.109130
themselves,299,778,0.0%,0.108936
offering,300,767,0.0%,0.107755
between,301,767,0.0%,0.108114
hundred,302,766,0.0%,0.108332
almost,303,764,0.0%,0.108407
mind,304,764,0.0%,0.108765
body,305,762,0.0%,0.108837
began,306,761,0.0%,0.109050
lady,307,761,0.0%,0.109407
