Word,Rank,Frequency,Pr(%),r*Pr
the,1,9906,7.5%,0.074975
of,2,6986,5.3%,0.105749
and,3,5139,3.9%,0.116686
to,4,4432,3.4%,0.134177
in,5,2749,2.1%,0.104031
a,6,2193,1.7%,0.099588
our,7,2058,1.6%,0.109034
that,8,1726,1.3%,0.104508
we,9,1625,1.2%,0.110691
be,10,1460,1.1%,0.110502
is,11,1416,1.1%,0.117889
it,12,1367,1.0%,0.124156
for,13,1154,0.9%,0.113545
by,14,1066,0.8%,0.112954
which,15,1002,0.8%,0.113757
have,16,997,0.8%,0.120735
with,17,937,0.7%,0.120561
as,18,931,0.7%,0.126835
not,19,924,0.7%,0.132875
will,20,851,0.6%,0.128818
i,21,832,0.6%,0.132239
this,22,812,0.6%,0.135206
all,23,794,0.6%,0.138219
are,24,779,0.6%,0.141503
their,25,738,0.6%,0.139642
but,26,628,0.5%,0.123581
has,27,612,0.5%,0.125064
government,28,593,0.4%,0.125670
its,29,565,0.4%,0.124012
people,30,563,0.4%,0.127834
from,31,551,0.4%,0.129280
or,32,542,0.4%,0.131271
on,33,520,0.4%,0.129878
my,34,491,0.4%,0.126351
been,35,482,0.4%,0.127683
can,36,465,0.4%,0.126699
us,37,455,0.3%,0.127418
no,38,453,0.3%,0.130287
they,39,440,0.3%,0.129878
so,40,383,0.3%,0.115952
an,41,380,0.3%,0.117920
upon,42,369,0.3%,0.117299
who,43,361,0.3%,0.117488
must,44,346,0.3%,0.115225
at,45,341,0.3%,0.116141
may,46,334,0.3%,0.116285
great,47,331,0.3%,0.117745
world,48,329,0.2%,0.119524
states,49,329,0.2%,0.122014
them,50,327,0.2%,0.123747
should,51,323,0.2%,0.124678
those,52,317,0.2%,0.124762
shall,53,314,0.2%,0.125957
more,54,307,0.2%,0.125473
nation,55,302,0.2%,0.125715
country,56,302,0.2%,0.128001
if,57,286,0.2%,0.123384
every,58,285,0.2%,0.125110
these,59,278,0.2%,0.124141
any,60,276,0.2%,0.125337
was,61,268,0.2%,0.123732
other,62,256,0.2%,0.120130
peace,63,252,0.2%,0.120160
there,64,251,0.2%,0.121583
own,65,245,0.2%,0.120531
one,66,243,0.2%,0.121386
new,67,240,0.2%,0.121704
only,68,238,0.2%,0.122491
citizens,69,237,0.2%,0.123770
than,70,234,0.2%,0.123974
power,71,230,0.2%,0.123596
public,72,225,0.2%,0.122612
do,73,222,0.2%,0.122658
such,74,218,0.2%,0.122097
now,75,213,0.2%,0.120909
would,76,209,0.2%,0.120220
his,77,208,0.2%,0.121219
time,78,206,0.2%,0.121613
constitution,79,205,0.2%,0.122574
when,80,203,0.2%,0.122915
s,81,202,0.2%,0.123838
united,82,197,0.1%,0.122264
under,83,197,0.1%,0.123755
nations,84,194,0.1%,0.123339
america,85,192,0.1%,0.123520
union,86,188,0.1%,0.122370
me,87,186,0.1%,0.122476
freedom,88,183,0.1%,0.121886
free,89,179,0.1%,0.120576
you,90,178,0.1%,0.121250
war,91,175,0.1%,0.120531
most,92,172,0.1%,0.119766
what,93,166,0.1%,0.116845
national,94,154,0.1%,0.109564
made,95,151,0.1%,0.108572
let,96,149,0.1%,0.108262
fellow,97,148,0.1%,0.108656
american,98,147,0.1%,0.109034
men,99,144,0.1%,0.107899
good,100,143,0.1%,0.108232
were,101,139,0.1%,0.106256
spirit,102,138,0.1%,0.106536
without,103,138,0.1%,0.107581
well,104,137,0.1%,0.107838
rights,105,136,0.1%,0.108080
justice,106,134,0.1%,0.107505
years,107,134,0.1%,0.108519
law,108,134,0.1%,0.109533
make,109,133,0.1%,0.109723
life,110,133,0.1%,0.110729
had,111,130,0.1%,0.109216
laws,112,130,0.1%,0.110200
congress,113,129,0.1%,0.110328
before,114,127,0.1%,0.109579
never,115,125,0.1%,0.108799
into,116,123,0.1%,0.107989
best,117,120,0.1%,0.106264
each,118,119,0.1%,0.106279
just,119,117,0.1%,0.105378
duty,120,116,0.1%,0.105356
liberty,121,116,0.1%,0.106234
hope,122,115,0.1%,0.106188
interests,123,113,0.1%,0.105197
right,124,113,0.1%,0.106052
work,125,113,0.1%,0.106907
against,126,112,0.1%,0.106809
your,127,112,0.1%,0.107656
he,128,110,0.1%,0.106567
because,129,110,0.1%,0.107399
state,130,109,0.1%,0.107248
some,131,108,0.1%,0.107081
among,132,107,0.1%,0.106900
both,133,106,0.1%,0.106703
political,134,106,0.1%,0.107505
through,135,104,0.1%,0.106264
man,136,102,0.1%,0.104992
foreign,137,101,0.1%,0.104727
many,138,101,0.1%,0.105492
powers,139,101,0.1%,0.106256
know,140,100,0.1%,0.105961
much,141,99,0.1%,0.105651
god,142,98,0.1%,0.105325
executive,143,97,0.1%,0.104985
policy,144,97,0.1%,0.105719
long,145,96,0.1%,0.105356
history,146,96,0.1%,0.106082
first,147,95,0.1%,0.105696
between,148,95,0.1%,0.106415
part,149,95,0.1%,0.107134
principles,150,93,0.1%,0.105583
progress,151,93,0.1%,0.106287
human,152,93,0.1%,0.106990
out,153,93,0.1%,0.107694
within,154,93,0.1%,0.108398
duties,155,92,0.1%,0.107929
today,156,91,0.1%,0.107445
whole,157,90,0.1%,0.106945
administration,158,90,0.1%,0.107626
system,159,89,0.1%,0.107104
future,160,89,0.1%,0.107778
support,161,89,0.1%,0.108451
day,162,88,0.1%,0.107899
faith,163,87,0.1%,0.107331
common,164,87,0.1%,0.107989
confidence,165,87,0.1%,0.108648
nor,166,86,0.1%,0.108050
present,167,86,0.1%,0.108701
far,168,86,0.1%,0.109352
ever,169,86,0.1%,0.110003
over,170,86,0.1%,0.110654
less,171,85,0.1%,0.110010
too,172,85,0.1%,0.110654
purpose,173,84,0.1%,0.109988
service,174,84,0.1%,0.110623
same,175,83,0.1%,0.109935
president,176,82,0.1%,0.109231
necessary,177,82,0.1%,0.109851
yet,178,81,0.1%,0.109125
party,179,79,0.1%,0.107028
force,180,79,0.1%,0.107626
then,181,79,0.1%,0.108224
way,182,78,0.1%,0.107445
ourselves,183,78,0.1%,0.108035
high,184,78,0.1%,0.108625
interest,185,76,0.1%,0.106415
institutions,186,76,0.1%,0.106990
while,187,76,0.1%,0.107566
old,188,76,0.1%,0.108141
others,189,75,0.1%,0.107286
general,190,75,0.1%,0.107853
come,191,75,0.1%,0.108421
always,192,75,0.1%,0.108989
still,193,75,0.1%,0.109556
better,194,75,0.1%,0.110124
here,195,74,0.1%,0.109216
office,196,73,0.1%,0.108292
need,197,73,0.1%,0.108845
strength,198,72,0.1%,0.107899
together,199,72,0.1%,0.108444
being,200,72,0.1%,0.108989
itself,201,72,0.1%,0.109533
federal,202,71,0.1%,0.108550
equal,203,71,0.1%,0.109087
place,204,70,0.1%,0.108080
means,205,70,0.1%,0.108610
believe,206,70,0.1%,0.109140
themselves,207,70,0.1%,0.109670
home,208,69,0.1%,0.108625
even,209,69,0.1%,0.109147
could,210,69,0.1%,0.109670
land,211,69,0.1%,0.110192
prosperity,212,68,0.1%,0.109110
things,213,68,0.1%,0.109624
where,214,68,0.1%,0.110139
might,215,68,0.1%,0.110654
secure,216,67,0.1%,0.109533
give,217,67,0.1%,0.110041
americans,218,66,0.0%,0.108898
whose,219,66,0.0%,0.109397
republic,220,66,0.0%,0.109897
given,221,66,0.0%,0.110396
find,222,66,0.0%,0.110896
action,223,66,0.0%,0.111395
order,224,66,0.0%,0.111895
change,225,66,0.0%,0.112394
am,226,65,0.0%,0.111183
full,227,65,0.0%,0.111675
proper,228,64,0.0%,0.110442
commerce,229,63,0.0%,0.109193
important,230,63,0.0%,0.109670
take,231,63,0.0%,0.110147
up,232,63,0.0%,0.110623
business,233,63,0.0%,0.111100
responsibility,234,63,0.0%,0.111577
found,235,63,0.0%,0.112054
again,236,62,0.0%,0.110744
called,237,62,0.0%,0.111214
subject,238,62,0.0%,0.111683
security,239,62,0.0%,0.112152
self,240,62,0.0%,0.112621
true,241,61,0.0%,0.111267
revenue,242,61,0.0%,0.111728
see,243,60,0.0%,0.110351
since,244,60,0.0%,0.110805
century,245,60,0.0%,0.111259
trust,246,60,0.0%,0.111713
ought,247,60,0.0%,0.112167
character,248,59,0.0%,0.110744
honor,249,59,0.0%,0.111191
seek,250,59,0.0%,0.111638
question,251,59,0.0%,0.112084
respect,252,59,0.0%,0.112531
toward,253,59,0.0%,0.112977
democracy,254,58,0.0%,0.111501
cause,255,58,0.0%,0.111940
earth,256,58,0.0%,0.112379
like,257,58,0.0%,0.112818
principle,258,58,0.0%,0.113257
beyond,259,57,0.0%,0.111736
influence,260,57,0.0%,0.112167
civil,261,56,0.0%,0.110623
become,262,56,0.0%,0.111047
another,263,56,0.0%,0.111471
done,264,56,0.0%,0.111895
help,265,56,0.0%,0.112319
stand,266,56,0.0%,0.112743
protection,267,56,0.0%,0.113166
countrymen,268,55,0.0%,0.111562
course,269,55,0.0%,0.111978
very,270,55,0.0%,0.112394
citizen,271,54,0.0%,0.110760
however,272,54,0.0%,0.111168
authority,273,54,0.0%,0.111577
constitutional,274,53,0.0%,0.109912
greater,275,53,0.0%,0.110313
use,276,53,0.0%,0.110714
also,277,53,0.0%,0.111115
live,278,53,0.0%,0.111516
strong,279,53,0.0%,0.111918
sense,280,52,0.0%,0.110200
experience,281,52,0.0%,0.110593
past,282,52,0.0%,0.110987
economy,283,52,0.0%,0.111380
meet,284,52,0.0%,0.111774
resources,285,51,0.0%,0.110010
governments,286,51,0.0%,0.110396
act,287,50,0.0%,0.108610
trade,288,50,0.0%,0.108989
times,289,50,0.0%,0.109367
love,290,50,0.0%,0.109745
individual,291,50,0.0%,0.110124
nothing,292,50,0.0%,0.110502
continue,293,50,0.0%,0.110881
children,294,49,0.0%,0.109034
oath,295,49,0.0%,0.109405
purposes,296,49,0.0%,0.109776
hand,297,49,0.0%,0.110147
opinion,298,49,0.0%,0.110517
cannot,299,49,0.0%,0.110888
domestic,300,49,0.0%,0.111259
control,301,49,0.0%,0.111630
happiness,302,48,0.0%,0.109715
condition,303,48,0.0%,0.110078
defense,304,48,0.0%,0.110442
go,305,47,0.0%,0.108497
labor,306,47,0.0%,0.108852
relations,307,47,0.0%,0.109208
whether,308,47,0.0%,0.109564
him,309,47,0.0%,0.109919
opportunity,310,47,0.0%,0.110275
lives,311,46,0.0%,0.108277
having,312,46,0.0%,0.108625
preserve,313,46,0.0%,0.108973
end,314,46,0.0%,0.109322
therefore,315,46,0.0%,0.109670
economic,316,46,0.0%,0.110018
maintain,317,46,0.0%,0.110366
regard,318,46,0.0%,0.110714
moral,319,45,0.0%,0.108648
two,320,45,0.0%,0.108989
promise,321,45,0.0%,0.109329
hands,322,45,0.0%,0.109670
did,323,45,0.0%,0.110010
alone,324,45,0.0%,0.110351
success,325,45,0.0%,0.110691
effort,326,45,0.0%,0.111032
wisdom,327,45,0.0%,0.111373
does,328,45,0.0%,0.111713
her,329,44,0.0%,0.109564
importance,330,44,0.0%,0.109897
