bestsellers_date,list_name,rank,title
2008-05-24,Chapter Books,4,Nick of Time: A Novel
2008-07-12,Paperback Books,1,L'America
2008-07-19,Trade Fiction Paperback,35,Bangkok Tattoo
2008-09-13,Hardcover Nonfiction,25,BEING CATHOLIC NOW
2008-09-13,Hardcover Nonfiction,14,"Black Betty: Featuring an Original Easy Rawlins Short Story ""Gator Green"" (Easy Rawlins Mysteries)"
2008-10-18,Picture Books,1,About a Mountain
2008-10-25,Mass Market Paperback,26,Mr. Dalloway: A Novella
2008-11-29,Hardcover Fiction,22,A Great Place to Die (Hardscrabble Books-Fiction of New England)
2009-01-03,Hardcover Fiction,33,CONTAGIOUS
2009-02-14,Hardcover Nonfiction,10,A.K.A. Jane
2009-02-28,Manga,10,Edenborn
2009-03-07,Manga,8,"Gentlemen’s Alliance, Vol. 9"
2009-05-02,Hardcover Nonfiction,35,Familiar Ground
2009-05-09,Paperback Advice,8,Emily Just in Time
2009-07-25,Mass Market Paperback,9,Living Faith
2009-08-08,Hardcover Nonfiction,13,BOBBY FLAY'S GRILL IT!
2009-09-19,Paperback Advice,13,Music from Big Pink: A Novella (33 1/3)
2009-10-31,Mass Market Paperback,5,HOT PROPERTY
2009-11-21,Manga,3,"Naruto, Vol. 40"
2009-12-12,Paperback Nonfiction,18,Our Fathers
2010-01-31,Hardcover Graphic Books,7,MARVEL ZOMBIES RETURN
2010-02-28,Hardcover Nonfiction,14,MAKING TOAST
2010-03-21,Hardcover Graphic Books,9,Human Croquet: A Novel
2010-04-11,Paperback Books,7,LETTERS TO GOD
2010-04-11,Hardcover Fiction,21,At the Owl Woman Saloon
2010-04-25,Paperback Books,3,Movie Love in the Fifties
2010-05-23,Hardcover Nonfiction,33,None of the Above: Behind the Myth of Scholastic Aptitude
2010-05-30,Mass Market Paperback,3,MARRIED LOVERS
2010-06-06,Paperback Graphic Books,4,"INVINCIBLE, VOL. 12"
2010-06-27,Hardcover Fiction,28,In My Mother's House: A Memoir
2010-08-01,Paperback Books,6,"Aesthetic Ideology (Theory and History of Literature, Vol. 65)"
2010-09-12,Mass Market Paperback,19,BURNING UP
2010-09-26,Hardcover Nonfiction,22,OPERATION DARK HEART
